상표,주유소명,주소,시군구,유종별 가격,부가정보
HD현대오일뱅크,HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구 남부순환로 2718,강남구,"{'고급휘발유': '1,899원', '보통휘발유': '1,739원', '경유': '1,649원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),강남구,"{'고급휘발유': '1,899원', '보통휘발유': '1,739원', '경유': '1,638원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 강남셀프주유소,서울 강남구 도곡로 208,강남구,"{'고급휘발유': '1,899원', '보통휘발유': '1,719원', '경유': '1,638원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),강남구,"{'고급휘발유': '1,914원', '보통휘발유': '1,749원', '경유': '1,664원', '실내등유': '1,640원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,강남구,"{'고급휘발유': '1,919원', '보통휘발유': '1,719원', '경유': '1,699원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,(주)보성 세곡주유소,서울 강남구 헌릉로 731 (세곡동),강남구,"{'고급휘발유': '1,928원', '보통휘발유': '1,728원', '경유': '1,589원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,강남구,"{'고급휘발유': '1,969원', '보통휘발유': '1,748원', '경유': '1,618원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,SK서광주유소,서울 강남구 역삼로 142,강남구,"{'고급휘발유': '1,990원', '보통휘발유': '1,795원', '경유': '1,695원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
SK에너지,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),강남구,"{'고급휘발유': '1,997원', '보통휘발유': '1,778원', '경유': '1,657원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),강남구,"{'고급휘발유': '1,998원', '보통휘발유': '1,798원', '경유': '1,698원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,삼성동주유소,서울 강남구 테헤란로 619,강남구,"{'고급휘발유': '2,025원', '보통휘발유': '1,845원', '경유': '1,725원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),강남구,"{'고급휘발유': '2,025원', '보통휘발유': '1,805원', '경유': '1,655원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
SK에너지,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,강남구,"{'고급휘발유': '2,027원', '보통휘발유': '1,857원', '경유': '1,697원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
SK에너지,대교셀프주유소,서울 강남구 강남대로 640 (신사동),강남구,"{'고급휘발유': '2,050원', '보통휘발유': '1,830원', '경유': '1,750원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),강남구,"{'고급휘발유': '2,057원', '보통휘발유': '1,857원', '경유': '1,832원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
SK에너지,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),강남구,"{'고급휘발유': '2,077원', '보통휘발유': '1,898원', '경유': '1,767원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
HD현대오일뱅크,한양주유소,서울 강남구 압구정로 302 (신사동),강남구,"{'고급휘발유': '2,195원', '보통휘발유': '1,995원', '경유': '1,795원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),강남구,"{'고급휘발유': '2,259원', '보통휘발유': '2,059원', '경유': '1,985원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
GS칼텍스,세진에너지(주) 개포주유소,서울 강남구 양재대로 339,강남구,"{'고급휘발유': '2,295원', '보통휘발유': '1,898원', '경유': '1,798원', '실내등유': '1,700원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,명품주유소,서울 강남구 도곡로 249 (역삼동),강남구,"{'고급휘발유': '2,377원', '보통휘발유': '2,278원', '경유': '2,127원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),강남구,"{'고급휘발유': '2,398원', '보통휘발유': '1,998원', '경유': '1,898원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,강남구,"{'고급휘발유': '2,577원', '보통휘발유': '2,288원', '경유': '2,098원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
GS칼텍스,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,강남구,"{'고급휘발유': '2,588원', '보통휘발유': '2,388원', '경유': '2,188원', '실내등유': '1,550원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,SK논현주유소,서울 강남구 논현로 747 (논현동),강남구,"{'고급휘발유': '2,670원', '보통휘발유': '2,435원', '경유': '2,270원', '실내등유': '1,840원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
