,season,episode,title,story,rating,date
0,S1,E1,Pilot,"Twenty-somethings Leonard Hofstadter and Sheldon Cooper are friends, roommates and physics geniuses working at Cal Tech. As such, they are self-professed geeks. Their social companions are Howard Wolowitz and Raj Koothrappali (who does not speak to women), fellow geniuses at Cal Tech. Originally from Omaha, Nebraska, beautiful Penny, a waitress at the Cheesecake Factory and an aspiring screenwriter and actress, moves in next door to them in their apartment building. On their initial social interaction - an impromptu lunch in the guys' apartment - the guys learn that Penny has a different mentality than them. This difference however does not stop Leonard from being attracted to her. They also learn that Penny is heartbroken from the end of a four year relationship. Just because she asked, Leonard agrees to pick up her television from her ex-boyfriend, with who she is having a dispute about the ownership of said television. Getting the television may be more difficult than Leonard anticipated, but he will do almost anything to accomplish this favor for his attractive new neighbor.",8.1,"Mon, Sep 24, 2007"
1,S1,E2,The Big Bran Hypothesis,"Penny asks a favor of Leonard and Sheldon: to let the furniture delivery men into her apartment when they make the delivery of her recent purchase. She gives them a key to her apartment for this task. Leonard and Sheldon regret agreeing to do so when first the delivery men will not carry the delivery up the four flights of stairs, and second when they see the pigsty that is Penny's apartment, which just does not sit right with Sheldon's orderly attitude. Penny also ends up regretting asking them when Sheldon uses the key to sneak into her apartment at night when she is sleeping to tidy up, a task in which Leonard participates. Can Penny ever forgive them for violating her personal space, regardless of how immaculate the apartment looks? —Huggo",8.2,"Mon, Oct 1, 2007"
2,S1,E3,The Fuzzy Boots Corollary,"Leonard is still pining over Penny, but comes to the realization that she is out of his league when he sees her with her handsome latest date. Moving on, Leonard decides to ask out his colleague, Dr. Leslie Winkle, instead, who wants to treat this event like a sped up science experiment, with the results being more important than the process. With Leonard still thinking about Penny, Sheldon clarifies to Leonard that Penny has not rejected him since Leonard has never asked her out. But Penny's interpretation of Leonard's question makes Leonard reevaluate how to approach their ""first date"". —Huggo",7.6,"Mon, Oct 8, 2007"
3,S1,E4,The Luminous Fish Effect,"Sheldon isn't looking forward to the faculty mixer where he will meet his new boss, Dr. Eric Gablehauser, who Sheldon doesn't respect. Due to an inappropriate comment to Gablehauser, Sheldon promptly gets fired. Sheldon has no interest in getting his job back. With his new found free time, Sheldon works on a series of rather meaningless experiments at home, which drive Leonard and Penny crazy. Feeling at the end of his rope in dealing with a crazed Sheldon, Leonard calls in the one person who he thinks can get Sheldon out of his funk: his mother. Mary Cooper, a religious southerner, deals with her son in her own special way, which may have a side benefit to herself. —Huggo",8.0,"Mon, Oct 15, 2007"
4,S1,E5,The Hamburger Postulate,"When Leslie Winkle asks Leonard to join the faculty string quartet, he has no idea that it may lead to more personal endeavors, especially as their first and only experience in dating each other went nowhere. Leonard's not sure how to reconcile his feelings for immediate sex with Leslie versus his want to date Penny, especially if Penny finds out that he is in a potential relationship. Sheldon's not sure what the protocol is when a roommate has a spontaneous ""guest"". But Sheldon is aware that by the end of Leonard and Leslie's encounter, he feels violated. And Leonard's feelings may change when he understands Leslie's motivations. —Huggo",7.8,"Mon, Oct 22, 2007"
5,S1,E6,The Middle Earth Paradigm,"When Penny asks the guys to her party, which will include dancing, they seriously think about not attending as they aren't ""dance"" people. But when they learn it's a costume party (the fact of it being Halloween irrelevant), they change their collective minds and decide to go. Leonard wants this party to be an opportunity for Penny to see him as someone in her social circle. But Leonard's goals for the evening change when Kurt, Penny's ex-boyfriend, shows up, he who seems to be an invited guest and who Penny seems happy to see. Leonard, still smarting from his first and only other previous encounter with Kurt, tries to be Penny's protector while protecting himself from a potentially painful beating from Kurt. —Huggo",8.3,"Mon, Oct 29, 2007"
6,S1,E7,The Dumpling Paradox,"Penny receives an unwanted visitor from Nebraska named Christy. In Penny's eyes, Christy is a loose woman with no morals. Hence, Christy is ripe for the picking by Howard. As Howard and Christy have a spontaneous get together using Penny's bedroom, Penny decides to ask Leonard and Sheldon if she can sleep overnight at their place, which elicits different responses from Leonard and Sheldon. Beyond Penny's sleeping problem, Howard hooking up with Christy causes more issues. First, Leonard, Sheldon and Raj are now missing a fourth in their regular activities. And second, they can all see that Christy is only using Howard. They have to figure out how to get Howard back. —Huggo",8.1,"Mon, Nov 5, 2007"
7,S1,E8,The Grasshopper Experiment,"Raj's parents back in New Delhi have set him up with a childhood acquaintance of his named Lalita Gupta, who has just moved to California. Their plan is for the two to get married. Raj does not want to meet with Lalita let alone get married to her if only because he still has difficulties even speaking to women. Howard decides to take matters into his own hands to get Raj to at least meet with her. Meanwhile, Penny, wanting to practice her bartending skills, uses the guys as guinea pigs, which opens up a whole new world for Raj, especially at this critical time in his mating life. But even if Raj can speak to Lalita, the words that come out of his mouth will be equally as important. Lalita does end up having a connection while on their date, but... —Huggo",8.1,"Mon, Nov 12, 2007"
8,S1,E9,The Cooper-Hofstadter Polarization,"Leonard finds a letter in the trash can, the letter an invitation for him and Sheldon to speak at an upcoming conference on the topic of their latest joint research findings. Sheldon threw the letter out since he didn't want to do it. This brings to the forefront several issues. Has Sheldon thrown out any other important letters to Leonard? Who has the right to their joint intellectual property, especially if Leonard wants to present? Whose idea was the research to begin with? In Penny's eyes, does Leonard own anything appropriate to wear to the conference? Can Leonard and Sheldon come to a compromise so that they will speak to each other and be friends again? —Huggo",7.9,"Mon, Mar 17, 2008"
9,S1,E10,The Loobenfeld Decay,"Penny has the role of Mimi in a one-day workshop stage production of ""Rent"" and invites Leonard and Sheldon to see her perform. Based on hearing Penny sing badly, Leonard and Sheldon decline; Leonard even lies to her to get out of it. Sheldon feels uncomfortable being part of Leonard's lie, so he takes proactive measures to get out of the lie; his actions don't hurt Penny but they confuse Leonard. But Sheldon takes his proactive measure to the extreme, utilizing the hidden talents of Toby Loobenfeld, a research assistant in the particle physics lab. —Huggo",8.0,"Mon, Mar 24, 2008"
